content,like,label
맛있는녀석들  식신로드에도 방영된 현지인이 더 많이 찾는 태국요리점   #리얼맛집 #맛집 #맛집추천 #어메이징타일랜드    #홍대 #합정 #홍대역1번출구 #합정역2번출구 #어메이징농카이 #홍대어메이징타일랜드 #맛있는녀석들 #맛있는녀석들태국 #식신로드 #홍대맛집 #합정맛집 #태국요리 #태국요리맛집 #태국음식점 #현지인맛집 #푸팟퐁커리 #쌀국수 #팟타이 #태국음식추천 #선팔 #맞팔 #좋아요 #jmt,19,0
목 금 일정 목요일은 #언론인권센터 #나라살림연구소 #미디어 #미디어속혐오 #연속강좌 #홍대입구역 #홍대입구역1번출구 #홍대역1번출구   금요일은 #대학에서싸우는여자들 #북토크 #북토크콘서트 #텀블벅 #텀블벅후원 #서울시청년허브 #서울청년허브 #불광역,34,0
홍대역 넷플릭스 모럴센스 베너현수막철거일공스카이01056040010 #홍대스카이차 #간판전문스카이 #5톤스카이 #고소작업차 #일공스카이 #현수막시공 #현수막철거 #홍대역1번출구,95,0
방역수칙 잘 지키는 지현쌤   ,15,0
#협찬 #고쿠텐홍대 #수요미식회    인스타협찬 #2만원식사권    3줄 요약    장어   일반 조합 강력크추천    맵찔이도 인정한 꽈리꼬추 엄지척    상당히 긴 웨이팅 고려하여 방문        장어가 너무 맛있었고 느끼할 수 있는 텐동을꽈리꼬추가 잘 잡아줌     유자향 비슷 향긋한 단무지    #식사권 감사합니다#다음에 내돈내산 방문의향 있음   #홍대텐동 #연남동텐동 #홍대고쿠텐 #텐동맛집    #협찬환영,347,0
#단발펌 #태슬펌 #슬릭펌    고객님의 얼굴형 모발 스타일에 어울리게 길이설정과 시술 도와드려요   시그니처 단발펌 30  할인 진행중 오픈 이벤트 시술 20  할인 진행중    빠른예약 프로필링크   궁금하신점은 DM 주세용 #에이엠톤 #에이엠톤홍대점 #에이엠톤연희,366,0
None,0,0
맛있는녀석들  식신로드에도 방영된 현지인이 더 많이 찾는 태국요리점   #리얼맛집 #맛집 #맛집추천 #어메이징타일랜드    #홍대 #합정 #홍대역1번출구 #합정역2번출구 #어메이징농카이 #홍대어메이징타일랜드 #맛있는녀석들 #맛있는녀석들태국 #식신로드 #홍대맛집 #합정맛집 #태국요리 #태국요리맛집 #태국음식점 #현지인맛집 #푸팟퐁커리 #쌀국수 #팟타이 #태국음식추천 #선팔 #맞팔 #좋아요 #jmt,19,0
목 금 일정 목요일은 #언론인권센터 #나라살림연구소 #미디어 #미디어속혐오 #연속강좌 #홍대입구역 #홍대입구역1번출구 #홍대역1번출구   금요일은 #대학에서싸우는여자들 #북토크 #북토크콘서트 #텀블벅 #텀블벅후원 #서울시청년허브 #서울청년허브 #불광역,34,0
홍대역 넷플릭스 모럴센스 베너현수막철거일공스카이01056040010 #홍대스카이차 #간판전문스카이 #5톤스카이 #고소작업차 #일공스카이 #현수막시공 #현수막철거 #홍대역1번출구,95,0
방역수칙 잘 지키는 지현쌤   ,15,0
#협찬 #고쿠텐홍대 #수요미식회    인스타협찬 #2만원식사권    3줄 요약    장어   일반 조합 강력크추천    맵찔이도 인정한 꽈리꼬추 엄지척    상당히 긴 웨이팅 고려하여 방문        장어가 너무 맛있었고 느끼할 수 있는 텐동을꽈리꼬추가 잘 잡아줌     유자향 비슷 향긋한 단무지    #식사권 감사합니다#다음에 내돈내산 방문의향 있음   #홍대텐동 #연남동텐동 #홍대고쿠텐 #텐동맛집    #협찬환영,347,0
#단발펌 #태슬펌 #슬릭펌    고객님의 얼굴형 모발 스타일에 어울리게 길이설정과 시술 도와드려요   시그니처 단발펌 30  할인 진행중 오픈 이벤트 시술 20  할인 진행중    빠른예약 프로필링크   궁금하신점은 DM 주세용 #에이엠톤 #에이엠톤홍대점 #에이엠톤연희,366,0
오랜만에 방문한 #고쿠텐홍대점 역시 텐동하면 고쿠텐   비오는날 튀김이 정답입니다        #고쿠텐 #홍대텐동 #홍대맛집 #동교동맛집 #텐동 #텐동추천 #텐동맛집 #맛집 #홍대역 #홍대역맛집 #홍대역1번출구 #분위기맛집 #비오는날 #튀김 #최고,117,0
#시소스시#홍대맛집#홍대역1번출구#홍대초밥#일식#먹스타그램#모듬사시미#강추#서비스탕나옴사시미#중자 배부르당    ,34,0
  예쁜카페 홍대역 더페이머스램   올해 마지막 세미나를 홍대 근처에서 받고비오는 홍대거리를 나홀로 뚜벅뚜벅  더 페이머스 램 카페를 소개 받아서 들렸다 가기로 결심  내부는 깔끔하고 넓게 탁트여 세런된 갤러리에 온 듯한 분위기  시나몬롤과 카푸치노를 먹으면서 창가에서 잠시 사색      매일 아침 로스팅 한다는 커피가 향긋  시나몬롤은 예상치 못한 고급지고 풍부한 맛 빵은 별로 좋아하지 않는데 넘 맛있어서 살짝 충격     천연발효종으로 천천히 발효해서 만든다는 설명   역시 정성이 맛을 고급지게 하네요        홍대역 1번 출구에서 도보5분 정도   #카페그램#온더테이블#온마이테이블#카페스타그램#주부스타그램#맛스타그램#먹스타그램#카페탐방#커피그램#커피스타그램#세미나참석후#홍대역1번출구#홍대커피숍#더페이머스램#홍대더페이머스램카페#홍대카페#시나몬롤#카푸치노#비오는홍대거리#천연발효종#매일로스팅#커피조각케익#나홀로커피#방화동피부사랑#피부사랑#선팔맞팔,10,0
#좋은사람들과식사#사촌언니와형부#사촌동생과제부#사촌조카#맛있는거사준다고#맛있다 #몸보신#건강한맛#양장피#전가복#산삼도들어있고#전복#몸에좋은건다들어갔네#봄보신제대로했넹 #중화복춘골드중식당#홍대역1번출구#홍대맛집,77,0
샤인빔 홍대에서 준비한 가정의달 이벤트 퀄리티 있는 시술을 합리적 가격에 받으세요        스킨케어 4 1 피지제로필 2 2만LDM6분 2 2만수분폭탄관리 2 2만       미백 색소바디피코토닝5회 19 9만피코토닝8회 39만       스킨부스터듀얼리쥬란 24만반짝부스터3주 25만       리프팅슈링크유니버스500샷 19 9만올리지오300샷 35만       여드름 모공코코코패키지 6만시크릿 아기주사 13만       쁘띠 바디한달무제한팔뚝주사 19만뉴라미스5cc 30만  부가세10 별도  5월17일까지 #슈링크유니버스 #슈링크리프팅 #리프팅 #샤인빔 #홍대샤인빔 #홍대역1번출구 #피부과 #홍대피부과 #보톡스 #필러 #인모드 #피코슈어 #레이저제모,10,0
이미 두달간 많은분이 감탄하신 슈링크 유니버스 통증은 Down 효과는 Up MP모드로 쳐진 볼살 OUT  #슈링크유니버스 #슈링크리프팅 #리프팅 #샤인빔 #홍대샤인빔 #홍대역1번출구 #피부과 #홍대피부과 #보톡스 #필러 #인모드 #피코슈어,11,0
귀염귀염한 친구분 두분이 오셔서 본인 취향에 맞는 향을 찾아 조합 해 보셨습니다  갓성비 향수  #아로마포레스트홍대 #홍대역향수공방 #홍대역1번출구 #홍대데이트 #홍대핫플 #홍대향수공방 #향수맛집 #갓성비향수 #시향과제작단돈25000원 #시향은무료 #여기가최저가 #고객이만족할때까지 #다퍼주는집 #땅파서장사,19,0
  2022년도 임인년 새해 맞이     홍대 비즈타운에서는 새해 이벤트로 뽀얀 백설기와 쫀득쫀득 인절미 떡을 맞춰서 돌렸습니다   한분 한분 떡 드리면서 새해 인사와 덕담으로 행복한 설날이 되어가고있네요  올 한해 항상 건강 하시고  하시는일 번창 하시길 바라겠습니다    새해 복 많이 받으세요               #홍대비즈타운 #비즈타운 #소호사무실 #홍대공유사무실 #새해맞이이벤트 #임인년  #일스타그램 #직장인 #스타트업 #창업 #공유사무실 #합정공유사무실 #직장인스타그램 #일상 #홍대공유오피스 #홍대공유오피스추천 #데일리 #홍대역사거리 #홍대역1번출구 #새해복많이받으세요 ,9,0
킹재밌는 향수공방 체험하러 오신 젊은 고객님  두분이 너무 신나게 웃으며 체험하시길래 한컷 요청 드렸습니당 향 완전 마음에 드신다며   새로운 스티커도 준비했습니다   가주아  향수공방  놀러오세용   #아로마포레스트홍대 #아로마포레스트홍대CGV #홍대향수공방 #홍대놀거리 #홍대핫플 #홍대데이트코스 #홍대갓성비 #홍대CGV #홍대향수맛집 #홍대역1번출구 #서울향수공방 #스왈로,20,0
 추운 겨울 홍대 엔제리너스에서 따뜻하게 녹이고 가시기를  D 25#엔홍7,110,0
한달에 한번 찾아오는 비즈타운 홍대점 간식데이  달콤한 시럽과 초코향이 센터에 폴폴  맛있게 드시고 즐겁게 주말 맞이해요      #홍대비즈타운 #비즈타운홍대점 #비즈타운 #스타트업 #창업 #일스타그램 #간식데이 #공유사무실 #상주사무실 #비상주사무실 #홍대역입구 #홍대역1번출구 #역세권위치 #공유오피스 #공유오피스추천 #쉐어오피스 #입주자모집#입주문의 #상담문의주세요  ,12,0
안뇽 크루미들 오랜만이네용 은지쌤이에요 벌써 2년제 항공과 면접이 시작되었죠  오늘은 10 9 토  수원과학대학교 항공관광과 따끈따끈한 면접 후기 및 질문이 궁금하다면 은지쌤 프로필 링크를 통해 블로그 보고가기 크루미들 화이팅  ,16,0
블랙스쿠르으 해꼬르으 담배도 물었쓰으르  Jinjay Oldschool Tattoo    1인 1도안   도안제작가능    미성년자       바늘재사용        올드스쿨 긴팔 긴다리 모델 구합니다      하이라이트 상담양식서 확인 후 문의주세요            DM   프로필하단링크  카카오톡채널 jinjaytattoo   Hastag#반팔타투 #반팔타투진행중 #홍대타투 #합정타투 #올드스쿨타투 #블랙스쿨타투,516,0
벌써 수시 1차가 코앞으로 다가오고 있네요  오늘도 크루미들을 위해  2022학년도 2년제 항공과 합격자 발표  달력을 가지고 왔어용 우리 크루미들에게 동기부여가 되길 바라며 조금만 더 힘냅시다  ,0,0
크루미 포토존 ,0,0
  MNH 엔터테인먼트 내방오디션  청하 벤디트 등 글로벌 스타가 소속된MNH 엔터테인먼트 내방오디션이KMC 홍대실용음학학원에서 진행됩니다   일 시  2021   10   23 토요일 오후 2시  장 소  KMC홍대실용음악학원 공연장  지원자격  2000년 2009년생 남 여  신청분야  노래  랩  댄스#오디션 #MNH엔터테인먼트 #내방오디션 #오디션 #청하 #벤디트 #보컬오디션 #실용음악학원 #보컬학원 #보컬레슨 #서울보컬학원 #홍대보컬학원 #랩 #댄스 #오디션합격 #연습생 #홍대 #소속사오디션 #아이돌 #가수 #마포구보컬학원 #홍대역1번출구 #춤 #포트폴리오 #마포구보컬학원 #취미 #입시,23,0
#고등애#홍대역1번출구#홍대해산물맛집#홍대맛집#갑오징어볶음#소라찜#홍대술안주맛집,32,0
리모델링 정말 잘됐당 #팀플레이스 #홍대역1번출구 #홍대카페 #홍대스터디카페 #스터디카페 #룸카페 #수업 #한국어수업 #올라코리안 #미드센추리모던 #인테리어 #리모델링 #일상,9,0
너무 배고파서 샌드위치 먹고 랑종으로 스타트 겁쟁이도 볼만함#홍대#홍대L7#홍대역1번출구#랑종#영화보다화장실이더무서움#휴가#스벅#라임피지오#호캉스#홍대L7호캉스#휴가1일차#11F#연남뷰#야경맛있네#야경맛집#스텐다드#스텐다드트윈,13,0
현재 비즈타운 홍대점은 다양한 2인실이 입주자분들을 기다리구 있어요     언제든 문의 상담 환영합니다    #홍대소호사무실 #소호사무실 #홍대비즈타운 #창업 #성공스타그램 #공유사무실 #홍대공유사무실 #공유오피스#홍대공유오피스 #일스타그램 #스타트업 #회의실대여 #입주자모집 #2인실 #홍대핫플 #합정공유오피스 #합정소호사무실 #합정공유사무실 #홍대역1번출구 #역세권 #맞팔,10,0
  울림 엔터테인먼트 내방오디션  골든차일드  러블리즈  우현  성종  등 글로벌 스타가 소속된울림 엔터테인먼트 내방오디션이KMC 홍대실용음학학원에서 진행됩니다    일  시  2021   09   27 월요일 오후 6시  장  소  KMC홍대실용음악학원 공연장  지원자격  남자 09년생  03년생  여자 09년생   06년생  신청분야  노래  랩  댄스#오디션 #울림엔터테인먼트오디션 #내방오디션 #오디션 #러블리즈 #골든차일드 #성종 #우현 #인피니트 #보컬오디션 #실용음악학원 #보컬학원 #보컬레슨 #서울보컬학원 #홍대보컬학원 #랩 #댄스 #오디션합격 #연습생 #홍대 #소속사오디션 #아이돌 #가수 #마포구보컬학원 #홍대역1번출구 #춤 #포트폴리오 #마포구보컬학원 #취미 #입시,22,0
  어비스 컴퍼니 엔터테인먼트 내방오디션  선미  박원  뱀뱀  어반자카파 등 글로벌 스타가 소속된어비스 컴퍼니 엔터테인먼트 내방오디션이KMC 홍대실용음학학원에서 진행됩니다    일  시  2021   08   21 토요일 오후 2시  장  소  KMC홍대실용음악학원 공연장  지원자격  남 녀 2004 2008년생  신청분야  노래  랩  댄스  연기  모델#오디션 #어비스컴퍼니오디션 #내방오디션 #오디션 #선미 #뱀뱀 #어반자카파 #박원 #보컬오디션 #실용음악학원 #보컬학원 #보컬레슨 #서울보컬학원 #홍대보컬학원 #랩 #댄스 #오디션합격 #연습생 #홍대 #소속사오디션 #아이돌 #가수 #마포구보컬학원 #홍대역1번출구 #춤 #포트폴리오 #마포구 #마포구보컬학원 #취미 #입시,17,0
